계정과목,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,
대리상지원금,"18,919,021","10,434,158","11,506,528","10,676,364","4,859,639","3,152,322","7,344,079","11,427,248","13,300,867","9,108,762","5,777,170","10,827,832",
물류비,"9,784,614","6,456,664","8,714,983","7,331,153","6,942,812","5,440,500","5,009,363","6,470,095","6,746,053","9,498,873","7,892,111","8,093,592",
매장임차료,"10,853,979","11,695,360","7,704,313","9,110,904","9,516,778","7,981,161","7,951,531","8,509,045","9,067,674","11,352,073","11,072,005","12,308,676",
감가상각비,"627,423","628,722","622,858","612,092","605,727","621,353","620,375","690,351","698,355","757,271","792,063","790,760",
기타(직접비),"941,990","1,167,630","3,786,054","923,369","1,025,912","958,415","833,841","1,108,080","1,116,485","2,264,526","1,606,617","1,763,266",
급여(사무실),"6,911,186","11,883,555","3,998,012","7,210,092","7,426,422","6,864,824","7,134,285","6,474,962","6,779,897","7,408,453","6,776,471","7,050,019",
복리후생비(사무실),"2,317,191","3,798,654","2,106,062","2,431,239","2,716,775","2,135,041","2,367,167","1,862,555","2,169,514","2,419,608","2,067,854","2,662,941",
광고비,"15,572,943","15,389,572","11,930,739","12,530,470","12,471,358","10,813,555","11,445,451","17,586,374","15,781,345","11,905,277","14,165,116","9,447,683",
수주회,"7,058,868",0,0,"204,100",0,0,9553852.92,0,0,250000,0,0,
지급수수료,"1,102,649","2,099,857","1,709,847","5,378,026","1,352,053","1,871,573","2,068,961","1,710,645","2,788,675","1,456,772","1,861,411","2,349,349",
임차료,"1,910,923","1,913,434","1,916,789","1,909,287","1,909,934","1,916,902","1,909,991","1,917,109","1,912,464","1,912,464","1,912,464","1,912,464",
감가상각비(영업비),"379,015","377,566","375,927","375,883","381,761","378,239","379,070","371,328","371,332","373,578","372,771","370,677",
세금과공과,"390,769","203,668","1,820,521","183,945","1,864,563","1,420,509","2,290,482","2,125,998","849,616","1,350,275","3,241,714","2,475,129",
기타(영업비),"269,835","164,967","301,159","432,394","303,778","278,984","240,533","249,273","398,052","362,181","318,473","304,414",
